Region (Citing Region)	Year	Gini-Coefficient
western europe	2000	0.7491970802919709
north america	2000	0.8083743842364532
southern-eastern asia	2000	0.7223175965665237
western asia	2000	0.6821428571428572
eastern europe	2000	0.7473684210526318
oceania	2000	0.7444444444444445
south-eastern asia	2000	0.6888888888888889
south america	2000	0.6333333333333333
central asia	2000	0.7727272727272727
africa	2000	0.6142857142857143
all regions	2000	0.7394794900181966
western europe	2001	0.746795270690728
north america	2001	0.8006082725060827
southern-eastern asia	2001	0.721297429620563
western asia	2001	0.6904761904761906
eastern europe	2001	0.75
oceania	2001	0.7551724137931035
south-eastern asia	2001	0.6813953488372092
south america	2001	0.6333333333333333
central asia	2001	0.7727272727272727
africa	2001	0.5842105263157895
all regions	2001	0.738677381506391
western europe	2002	0.7407443682664056
north america	2002	0.7930583501006034
southern-eastern asia	2002	0.7183556405353729
western asia	2002	0.7000000000000001
eastern europe	2002	0.715625
oceania	2002	0.7705882352941178
south-eastern asia	2002	0.6661538461538462
south america	2002	0.5965517241379309
central asia	2002	0.7615384615384615
africa	2002	0.6090909090909091
all regions	2002	0.7343028591591297
western europe	2003	0.7409435551811289
north america	2003	0.7878194207836459
southern-eastern asia	2003	0.7103801169590644
western asia	2003	0.7101265822784808
eastern europe	2003	0.7128205128205128
oceania	2003	0.7515151515151515
south-eastern asia	2003	0.6573033707865169
south america	2003	0.60625
central asia	2003	0.7000000000000001
africa	2003	0.6249999999999999
all regions	2003	0.7244993027351633
western europe	2004	0.7348532167395377
north america	2004	0.777081899518238
southern-eastern asia	2004	0.7098649442160893
western asia	2004	0.7189473684210526
eastern europe	2004	0.6757142857142856
oceania	2004	0.6953125
south-eastern asia	2004	0.644360902255639
south america	2004	0.623076923076923
central asia	2004	0.6789473684210526
africa	2004	0.6032258064516128
all regions	2004	0.7095708695514956
western europe	2005	0.7274076072295657
north america	2005	0.7659295897585103
southern-eastern asia	2005	0.7009220839096358
western asia	2005	0.7066666666666667
eastern europe	2005	0.6754385964912281
oceania	2005	0.6723809523809524
south-eastern asia	2005	0.6418994413407821
south america	2005	0.644186046511628
central asia	2005	0.6789473684210526
africa	2005	0.592
all regions	2005	0.701560036209376
western europe	2006	0.7152001625685835
north america	2006	0.7472934472934474
southern-eastern asia	2006	0.6943403160602719
western asia	2006	0.684375
eastern europe	2006	0.6744186046511627
oceania	2006	0.6580246913580245
south-eastern asia	2006	0.6512820512820515
south america	2006	0.625
central asia	2006	0.68
africa	2006	0.5753623188405796
all regions	2006	0.6893748812993619
western europe	2007	0.7064615913387179
north america	2007	0.7366515837104071
southern-eastern asia	2007	0.6869662921348315
western asia	2007	0.6561752988047809
eastern europe	2007	0.6594684385382059
oceania	2007	0.6515151515151515
south-eastern asia	2007	0.6305263157894737
south america	2007	0.6185185185185186
central asia	2007	0.6904761904761904
africa	2007	0.5773333333333336
all regions	2007	0.6790841974770164
western europe	2008	0.6979528883903534
north america	2008	0.7236233854520735
southern-eastern asia	2008	0.6761126477244153
western asia	2008	0.6393393393393394
eastern europe	2008	0.646981627296588
oceania	2008	0.6481481481481483
south-eastern asia	2008	0.6139303482587064
south america	2008	0.626530612244898
central asia	2008	0.676
africa	2008	0.5909090909090908
all regions	2008	0.6704760000938398
western europe	2009	0.6896559739655973
north america	2009	0.7128101557991919
southern-eastern asia	2009	0.6665102998164386
western asia	2009	0.6217391304347825
eastern europe	2009	0.643913043478261
oceania	2009	0.6343373493975907
south-eastern asia	2009	0.5939716312056738
south america	2009	0.6280701754385966
central asia	2009	0.6555555555555556
africa	2009	0.5912280701754385
all regions	2009	0.6587777535675204
western europe	2010	0.6808174904942966
north america	2010	0.6969361300966297
southern-eastern asia	2010	0.6582074688796681
western asia	2010	0.6082024432809774
eastern europe	2010	0.6427536231884058
oceania	2010	0.6220551378446116
south-eastern asia	2010	0.5827777777777777
south america	2010	0.6186440677966101
central asia	2010	0.6302325581395347
africa	2010	0.5728476821192052
all regions	2010	0.6454897508369447
western europe	2011	0.6721326238231682
north america	2011	0.6868916155419224
southern-eastern asia	2011	0.6532507739938079
western asia	2011	0.6085271317829456
eastern europe	2011	0.6394435351882161
oceania	2011	0.6120260021668473
south-eastern asia	2011	0.577158469945355
south america	2011	0.6186721991701245
central asia	2011	0.6272727272727273
africa	2011	0.5590361445783133
all regions	2011	0.6393678755072293
western europe	2012	0.6633247177254794
north america	2012	0.673578393303995
southern-eastern asia	2012	0.6467703913248468
western asia	2012	0.6035443037974684
eastern europe	2012	0.6201982651796778
oceania	2012	0.6062271062271063
south-eastern asia	2012	0.5730769230769229
south america	2012	0.6022508038585208
central asia	2012	0.62987012987013
africa	2012	0.5727272727272726
all regions	2012	0.6331192322212803
western europe	2013	0.6524967536300319
north america	2013	0.6598460171750075
southern-eastern asia	2013	0.6406644924582146
western asia	2013	0.5953033268101762
eastern europe	2013	0.604016064257028
oceania	2013	0.5985074626865673
south-eastern asia	2013	0.5700826446280993
south america	2013	0.5948979591836736
central asia	2013	0.5976744186046512
africa	2013	0.5646808510638299
all regions	2013	0.6209644314795583
western europe	2014	0.6441372451516657
north america	2014	0.6484347881982386
southern-eastern asia	2014	0.6335173150538591
western asia	2014	0.5718822618125485
eastern europe	2014	0.5941080196399348
oceania	2014	0.596032831737346
south-eastern asia	2014	0.5625544267053701
south america	2014	0.5799999999999998
central asia	2014	0.5813186813186811
africa	2014	0.563322884012539
all regions	2014	0.610461582816178
western europe	2015	0.6359549565525804
north america	2015	0.6393214714800618
southern-eastern asia	2015	0.6263393201264165
western asia	2015	0.5543147208121828
eastern europe	2015	0.5887755102040817
oceania	2015	0.5920863309352516
south-eastern asia	2015	0.5567725210628647
south america	2015	0.563529411764706
central asia	2015	0.5565022421524664
africa	2015	0.5549333333333334
all regions	2015	0.5995639499640233
western europe	2016	0.6229919896081403
north america	2016	0.6308827231985498
southern-eastern asia	2016	0.6194156706507303
western asia	2016	0.5404255319148936
eastern europe	2016	0.5792610250297974
oceania	2016	0.5797552269250384
south-eastern asia	2016	0.5531356898517674
south america	2016	0.5575581395348838
central asia	2016	0.554421768707483
africa	2016	0.5538812785388126
all regions	2016	0.5913698949411564
western europe	2017	0.6152150624898556
north america	2017	0.6224993295789757
southern-eastern asia	2017	0.6123204128305871
western asia	2017	0.529681686647375
eastern europe	2017	0.5695257315842585
oceania	2017	0.5703971119133573
south-eastern asia	2017	0.5452868852459017
south america	2017	0.5528735632183908
central asia	2017	0.5473958333333334
africa	2017	0.5450867052023122
all regions	2017	0.582342753189907
western europe	2018	0.6078790313324915
north america	2018	0.6140765722607595
southern-eastern asia	2018	0.6057171117705242
western asia	2018	0.522795399093761
eastern europe	2018	0.5655895196506551
oceania	2018	0.5624803767660913
south-eastern asia	2018	0.5382829610162068
south america	2018	0.5470334412081984
central asia	2018	0.5305785123966943
africa	2018	0.5289156626506024
all regions	2018	0.573632415838541
western europe	2019	0.6007246189948167
north america	2019	0.6083341533011907
southern-eastern asia	2019	0.6000337866373848
western asia	2019	0.5192330040674027
eastern europe	2019	0.5530460624071323
oceania	2019	0.5582348853370396
south-eastern asia	2019	0.53438330170778
south america	2019	0.5416996047430829
central asia	2019	0.5098265895953757
africa	2019	0.5237804878048781
all regions	2019	0.566119134291352
western europe	2020	0.591018018018018
north america	2020	0.5991360035332763
southern-eastern asia	2020	0.589450252951096
western asia	2020	0.51416015625
eastern europe	2020	0.5470511140235911
oceania	2020	0.5486535552193648
south-eastern asia	2020	0.5296824368114065
south america	2020	0.5302828618968385
central asia	2020	0.5008898776418245
africa	2020	0.5159713945172826
all regions	2020	0.55725693292373
western europe	2021	0.5840840353191923
north america	2021	0.5925817715385162
southern-eastern asia	2021	0.5831657142857145
western asia	2021	0.5135350987810005
eastern europe	2021	0.5392227204783259
oceania	2021	0.5429454447729106
south-eastern asia	2021	0.5272959909013364
south america	2021	0.5192133131618759
central asia	2021	0.5014842300556587
africa	2021	0.5125
all regions	2021	0.5519232390120332
